title,price,monthday,year,room,m2,location
DİNÇER GYD-ÇARŞI KEPECİ 75M2 SIFIR EŞYA 2+1 YAKIT NET DAHİL,17.000 TL,04 Aralık,2025,2+1,75,Kepeci
32 ARTIBİR EMLAKTAN ANADOLU MAHALLESİ'NDE 2+1 APART DAİRE,14.000 TL,04 Aralık,2025,2+1,65,Anadolu
DİNÇER GYD-BAHÇELİEVLER MAH BALKONLU 2+1 YAKIT NET 18.000₺,18.000 TL,04 Aralık,2025,2+1,65,"Anadolu
Bahçelievler Mh."
İLAN 32 GYD // SÖYLEYİCİLER AZURE'DE KİRALIK DAİRE,28.500 TL,04 Aralık,2025,3+1,160,"Anadolu
Muzaffer Türkeş Mh."
ISPARTA SANAYİ MAHALLESİ'NDE KİRALIK DAİRE,30.000 TL,04 Aralık,2025,3+1,182,"Anadolu
Sanayi Mah."
ADLİYE YAKINI KİRALİK 3+1 TEMİZ DAİRE,16.000 TL,04 Aralık,2025,3+1,140,"Anadolu
Fatih Mah."
ÇARŞI Yeni Üniversitesi Altında Turan mah.KİRALIK 3+1 2.kat,20.000 TL,04 Aralık,2025,3+1,150,"Çelebiler
Turan Mah."
Anadolu mahallesinde sahibinden kiralık,9.000 TL,04 Aralık,2025,3+1,110,Anadolu
çarşı merkezde tüm faturalar dahil 8000 TL,8.000 TL,04 Aralık,2025,Stüdyo (1+0),30,"Kutlubey
Hızırbey Mh."
SAHİBİNDEN Çünür mahallesinde Kiralık 3+1 Daire,28.000 TL,04 Aralık,2025,3+1,140,"Anadolu
Çünür Mh."
REGNO'DAN YAYLA MAH. MEYDAN AVMYE 100 METRE AİLEYE GENİŞ 3+1,18.000 TL,04 Aralık,2025,3+1,185,"Tokmacık
Yayla Mah."
PARLAİS EMLAKTAN KULE246DA KİRALIK 2+1 LÜX DAİRE,18.000 TL,04 Aralık,2025,2+1,85,"Kepeci
Davraz Mah."
MEHMET TÖNGE MAHALLESİNDE SİTE İÇERİSİNDE KİRALIK BAKIMLI DAİRE,23.000 TL,04 Aralık,2025,3+1,160,"Anadolu
Mehmet Tönge Mh."
Sahibinden ANADOLU MH. KİRALİK DOĞALGAZLI DAİRE,13.000 TL,04 Aralık,2025,2+1,135,Anadolu
ÇARŞI MERKEZDE HALK EĞİTİM YANI KİRALIK 3+1 DAİRE,19.000 TL,04 Aralık,2025,3+1,160,"Kepeci
İstiklal Mh."
